ID,Gene.symbol,Gene.title
ILMN_1729117,COL5A2,collagen type V alpha 2 chain
ILMN_1746376,SCARA3,scavenger receptor class A member 3
ILMN_1764571,,
ILMN_1708107,DPT,dermatopontin
ILMN_1787595,B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
ILMN_2391861,GSTM1,glutathione S-transferase mu 1
ILMN_1774272,ESRRA,estrogen related receptor alpha
ILMN_3236498,PSMD5-AS1,PSMD5 antisense RNA 1 (head to head)
ILMN_3242623,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding)
ILMN_2148913,TMEM45A,transmembrane protein 45A
ILMN_1811272,HCAR1,hydroxycarboxylic acid receptor 1
ILMN_2207505,LEP,leptin
ILMN_1690454,FAM212A,family with sequence similarity 212 member A
ILMN_1678215,RHOJ,ras homolog family member J
ILMN_1747058,TRAPPC2L,trafficking protein particle complex 2 like
ILMN_1729962,,
ILMN_1907834,,
ILMN_2402341,MAPK3,mitogen-activated protein kinase 3
ILMN_1775170,MT1X,metallothionein 1X
ILMN_1740675,,
ILMN_1813528,CCBE1,collagen and calcium binding EGF domains 1
ILMN_3308225,MIR1282,microRNA 1282
ILMN_1781010,ARHGEF3,Rho guanine nucleotide exchange factor 3
ILMN_1768260,GAS6,growth arrest specific 6
ILMN_1771652,BAIAP2L2,BAI1 associated protein 2 like 2
ILMN_1717262,PROCR,protein C receptor
ILMN_1736742,COLGALT2,collagen beta(1-O)galactosyltransferase 2
ILMN_1801443,TSKU,"tsukushi, small leucine rich proteoglycan"
ILMN_1723480,BST2,bone marrow stromal cell antigen 2
ILMN_1809145,TRIOBP,TRIO and F-actin binding protein
ILMN_1862909,RORA,RAR related orphan receptor A
ILMN_1743219,CA11,carbonic anhydrase 11
ILMN_3251383,CCDC74B,coiled-coil domain containing 74B
ILMN_1716246,FRZB,frizzled-related protein
ILMN_1878191,,
ILMN_1809490,NCKAP5,NCK associated protein 5
ILMN_2411731,HPS5,"HPS5, biogenesis of lysosomal organelles complex 2 subunit 2"
ILMN_2075643,ANKRD29,ankyrin repeat domain 29
ILMN_1655545,ZMYND12,zinc finger MYND-type containing 12
ILMN_2094061,IMPA2,inositol monophosphatase 2
ILMN_1701827,CADM3,cell adhesion molecule 3
ILMN_2352190,CLIP2,CAP-Gly domain containing linker protein 2
ILMN_1788701,PSIP1,PC4 and SFRS1 interacting protein 1
ILMN_3310065,SFTA1P,"surfactant associated 1, pseudogene"
ILMN_1667239,INPP1,inositol polyphosphate-1-phosphatase
ILMN_2387952,FAM134B,family with sequence similarity 134 member B
ILMN_1734276,PMEPA1,"prostate transmembrane protein, androgen induced 1"
ILMN_1697433,CYP46A1,cytochrome P450 family 46 subfamily A member 1
ILMN_2307861,COL6A3,collagen type VI alpha 3 chain
ILMN_1655312,HPS5,"HPS5, biogenesis of lysosomal organelles complex 2 subunit 2"
ILMN_1782015,FCRLB,Fc receptor like B
ILMN_1668851,AADACL4,arylacetamide deacetylase like 4
ILMN_2260392,ACTR3B,ARP3 actin related protein 3 homolog B
ILMN_1760247,CD70,CD70 molecule
ILMN_1694877,CASP6,caspase 6
ILMN_1769520,UBE2L6,ubiquitin conjugating enzyme E2 L6
ILMN_2107613,RHOJ,ras homolog family member J
ILMN_1697377,,
ILMN_1664362,SGIP1,SH3 domain GRB2 like endophilin interacting protein 1
ILMN_2060413,CD24,CD24 molecule
ILMN_2346997,RAB23,"RAB23, member RAS oncogene family"
ILMN_1668247,LTC4S,leukotriene C4 synthase
ILMN_1812433,HP,haptoglobin
ILMN_1716790,APBB2,amyloid beta precursor protein binding family B member 2
ILMN_2228180,MSRA,methionine sulfoxide reductase A
ILMN_1675222,PLXND1,plexin D1
ILMN_2181241,RPL23AP64,ribosomal protein L23a pseudogene 64
ILMN_1695461,PTPRA,"protein tyrosine phosphatase, receptor type A"
ILMN_1652065,KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1
ILMN_3268697,,
ILMN_1691884,STC2,stanniocalcin 2
ILMN_3253456,FNDC3B,fibronectin type III domain containing 3B
ILMN_1671489,PC,pyruvate carboxylase
ILMN_1776842,,
ILMN_1722025,CPEB4,cytoplasmic polyadenylation element binding protein 4
ILMN_1692517,,
ILMN_1720181,CLSTN1,calsyntenin 1
ILMN_3245912,TMEM59L,transmembrane protein 59 like
ILMN_1666156,MORF4L2,mortality factor 4 like 2
ILMN_2336094,TENM3,teneurin transmembrane protein 3
ILMN_1702698,LSM11,"LSM11, U7 small nuclear RNA associated"
ILMN_1728009,TMEM171,transmembrane protein 171
ILMN_1679092,RAB9B,"RAB9B, member RAS oncogene family"
ILMN_1763467,LY6G5C,"lymphocyte antigen 6 complex, locus G5C"
ILMN_1698766,PYCARD,PYD and CARD domain containing
ILMN_2384122,ADGRG1,adhesion G protein-coupled receptor G1
ILMN_1662743,POLR2J4,"RNA polymerase II subunit J4, pseudogene"
ILMN_1736567,CD74,CD74 molecule
ILMN_2318568,HCFC1R1,host cell factor C1 regulator 1
ILMN_1707356,CFL2,cofilin 2
ILMN_3250257,ACVRL1,activin A receptor like type 1
ILMN_2371397,SLC25A45,solute carrier family 25 member 45
ILMN_2201580,GSTM2,glutathione S-transferase mu 2 (muscle)
ILMN_1758164,STC1,stanniocalcin 1
ILMN_3241051,,
ILMN_2304512,SAA1,serum amyloid A1
ILMN_2192072,MMP7,matrix metallopeptidase 7
ILMN_1911042,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
ILMN_1684919,,
ILMN_1843949,HMBOX1,homeobox containing 1
ILMN_2224486,C3orf14,chromosome 3 open reading frame 14
ILMN_3201986,,
ILMN_1752728,FUCA1,"fucosidase, alpha-L- 1, tissue"
ILMN_1726041,,
ILMN_3248282,LINC01003,long intergenic non-protein coding RNA 1003
ILMN_1758093,TMEM260,transmembrane protein 260
ILMN_3240520,ADGRL4,adhesion G protein-coupled receptor L4
ILMN_1654966,SCARA3,scavenger receptor class A member 3
ILMN_2322552,NCKAP1,NCK associated protein 1
ILMN_1676088,MSRB3,methionine sulfoxide reductase B3
ILMN_1693107,MLH3,mutL homolog 3
ILMN_2157441,HLA-DRA,"major histocompatibility complex, class II, DR alpha"
ILMN_1692200,ZNF300P1,zinc finger protein 300 pseudogene 1
ILMN_1852179,,
ILMN_2348367,FGFRL1,fibroblast growth factor receptor-like 1
ILMN_1678086,CCDC74A,coiled-coil domain containing 74A
ILMN_1750400,C19orf66,chromosome 19 open reading frame 66
ILMN_1683883,ACY1,aminoacylase 1
ILMN_2131861,SOCS2,suppressor of cytokine signaling 2
ILMN_1692398,CNTNAP1,contactin associated protein 1
ILMN_1803945,HCP5,HLA complex P5 (non-protein coding)
ILMN_1765165,VPS13B,vacuolar protein sorting 13 homolog B
ILMN_2262901,RUFY3,RUN and FYVE domain containing 3
ILMN_1731714,CREB5,cAMP responsive element binding protein 5
ILMN_1766366,ICA1L,islet cell autoantigen 1 like
ILMN_2328666,CD83,CD83 molecule
ILMN_1740407,CHSY3,chondroitin sulfate synthase 3
ILMN_1759910,SERPINA5,serpin family A member 5
ILMN_1657373,P3H2,prolyl 3-hydroxylase 2
ILMN_1810037,RUSC2,RUN and SH3 domain containing 2
ILMN_1914495,,
ILMN_1741392,SLC25A20,solute carrier family 25 member 20
ILMN_1810324,SGCB,sarcoglycan beta
ILMN_1814011,,
ILMN_1747311,,
ILMN_1814719,RBP4,retinol binding protein 4
ILMN_2386444,ANGPTL4,angiopoietin like 4
ILMN_1694840,MATN2,matrilin 2
ILMN_1725427,B2M,beta-2-microglobulin
ILMN_2172969,STXBP6,syntaxin binding protein 6
ILMN_1739558,CRELD1,cysteine rich with EGF like domains 1
ILMN_1714428,FBXO17,F-box protein 17
ILMN_1713952,C1orf106,chromosome 1 open reading frame 106
ILMN_1712708,TRIM47,tripartite motif containing 47
ILMN_1745593,STMN1,stathmin 1
ILMN_1656088,CCDC190,coiled-coil domain containing 190
ILMN_1790971,,
ILMN_1718558,PARP12,poly(ADP-ribose) polymerase family member 12
ILMN_1676448,WDFY1,WD repeat and FYVE domain containing 1
ILMN_1784948,SPOCD1,SPOC domain containing 1
ILMN_1733515,LOXL3,lysyl oxidase like 3
ILMN_1668374,ITGB5,integrin subunit beta 5
ILMN_2387712,AK5,adenylate kinase 5
ILMN_2226917,SUSD6,sushi domain containing 6
ILMN_2340347,PC,pyruvate carboxylase
ILMN_1685378,,
ILMN_2283597,FAM134B,family with sequence similarity 134 member B
ILMN_2361186,PHF20L1,PHD finger protein 20-like 1
ILMN_1774287,CFB,complement factor B
ILMN_1706779,LIG1,DNA ligase 1
ILMN_1755173,PLEKHA4,pleckstrin homology domain containing A4
ILMN_1749792,SORBS1,sorbin and SH3 domain containing 1
ILMN_3208056,,
ILMN_1752520,SLFN11,schlafen family member 11
ILMN_1663042,SDC4,syndecan 4
ILMN_1896455,,
ILMN_1803811,TRIB1,tribbles pseudokinase 1
ILMN_1784822,PPP1R3F,protein phosphatase 1 regulatory subunit 3F
ILMN_1777263,MEOX2,mesenchyme homeobox 2
ILMN_1738749,MAST3,microtubule associated serine/threonine kinase 3
ILMN_1758542,,
ILMN_1750912,STXBP6,syntaxin binding protein 6
ILMN_1671728,CARD14,caspase recruitment domain family member 14
ILMN_1670306,SCGB3A2,secretoglobin family 3A member 2
ILMN_1795865,FGFRL1,fibroblast growth factor receptor-like 1
ILMN_1703374,NAV1,neuron navigator 1
ILMN_1712360,WISP3,WNT1 inducible signaling pathway protein 3
ILMN_1659027,SLC2A1,solute carrier family 2 member 1
ILMN_2136446,CTNNAL1,catenin alpha like 1
ILMN_1685403,MMP7,matrix metallopeptidase 7
ILMN_2278653,ZNF493,zinc finger protein 493
ILMN_1723962,LXN,latexin
ILMN_1739734,CLTCL1,clathrin heavy chain like 1
ILMN_1807072,GOSR2,golgi SNAP receptor complex member 2
ILMN_2115336,GNB3,G protein subunit beta 3
ILMN_1703695,C19orf12,chromosome 19 open reading frame 12
ILMN_1660519,C3orf70,chromosome 3 open reading frame 70
ILMN_1773006,FABP4,fatty acid binding protein 4
ILMN_1658759,PEX19,peroxisomal biogenesis factor 19
ILMN_1760062,IFI44,interferon induced protein 44
ILMN_2184373,CXCL8,C-X-C motif chemokine ligand 8
ILMN_2157141,OR2A42,olfactory receptor family 2 subfamily A member 42
ILMN_2073289,MTSS1,metastasis suppressor 1
ILMN_1683026,PSMB10,proteasome subunit beta 10
ILMN_2276952,TSC22D3,TSC22 domain family member 3
ILMN_1855510,,
ILMN_1740291,POLQ,DNA polymerase theta
ILMN_2327203,POT1,protection of telomeres 1
ILMN_1671565,RNASET2,ribonuclease T2
ILMN_2386008,MPZL1,myelin protein zero like 1
ILMN_3200597,,
ILMN_1728572,DOK5,docking protein 5
ILMN_1729225,SORCS2,sortilin related VPS10 domain containing receptor 2
ILMN_2339835,PTGS1,prostaglandin-endoperoxide synthase 1
ILMN_1800889,FIG4,FIG4 phosphoinositide 5-phosphatase
ILMN_1727815,CFI,complement factor I
ILMN_1779558,GAS6,growth arrest specific 6
ILMN_1732452,MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3
ILMN_1695404,LY6E,"lymphocyte antigen 6 complex, locus E"
ILMN_1801766,MCUB,mitochondrial calcium uniporter dominant negative beta subunit
ILMN_3208014,,
ILMN_1800697,LDB2,LIM domain binding 2
ILMN_1745213,PCDHB3,protocadherin beta 3
ILMN_2284794,PSMB8,proteasome subunit beta 8
ILMN_1730816,GPR162,G protein-coupled receptor 162
ILMN_1656910,TRIM6,tripartite motif containing 6
ILMN_1813544,OXCT1,3-oxoacid CoA-transferase 1
ILMN_3221721,,
ILMN_1779965,AK1,adenylate kinase 1
ILMN_2343563,ANAPC11,anaphase promoting complex subunit 11
ILMN_1773395,RDH5,retinol dehydrogenase 5
ILMN_1693726,TBC1D10A,TBC1 domain family member 10A
ILMN_2370573,XAF1,XIAP associated factor 1
ILMN_2350315,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
ILMN_3238137,,
ILMN_1681032,C16orf54,chromosome 16 open reading frame 54
ILMN_2093720,THG1L,tRNA-histidine guanylyltransferase 1 like
ILMN_1809101,STEAP2,STEAP2 metalloreductase
ILMN_1713162,GSTM2,glutathione S-transferase mu 2 (muscle)
ILMN_3286389,GOLGA8O,golgin A8 family member O
ILMN_1652185,IL4R,interleukin 4 receptor
ILMN_2183938,LEMD3,LEM domain containing 3
ILMN_2183784,TTC12,tetratricopeptide repeat domain 12
ILMN_1795342,MLPH,melanophilin
ILMN_1655684,SARS2,"seryl-tRNA synthetase 2, mitochondrial"
ILMN_1678403,TMEM178A,transmembrane protein 178A
ILMN_1799996,DHH,desert hedgehog
ILMN_3244457,EHBP1L1,EH domain binding protein 1 like 1
ILMN_1697409,TNFRSF14,TNF receptor superfamily member 14
ILMN_1804629,TPK1,thiamin pyrophosphokinase 1
ILMN_1717717,,
ILMN_1655405,SCARF2,scavenger receptor class F member 2
ILMN_1860638,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
ILMN_2411897,KLF10,Kruppel like factor 10
ILMN_2285708,C6orf48,chromosome 6 open reading frame 48
ILMN_1727790,KHDRBS3,"KH RNA binding domain containing, signal transduction associated 3"
ILMN_1683682,DAGLA,diacylglycerol lipase alpha
ILMN_1723625,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2
ILMN_1691731,PARP14,poly(ADP-ribose) polymerase family member 14
ILMN_3218721,,
ILMN_1693650,FES,"FES proto-oncogene, tyrosine kinase"
ILMN_1718770,MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator
ILMN_1677963,TMCC1,transmembrane and coiled-coil domain family 1
ILMN_1687202,,
ILMN_3240781,SNORD17,"small nucleolar RNA, C/D box 17"
ILMN_1747546,TSPAN1,tetraspanin 1
ILMN_1721657,RSU1,Ras suppressor protein 1
ILMN_1784661,TMEM2,transmembrane protein 2
ILMN_3289779,,
ILMN_2189406,ARPIN,actin-related protein 2/3 complex inhibitor
ILMN_1688094,ORC5,origin recognition complex subunit 5
ILMN_1703108,UBE2L6,ubiquitin conjugating enzyme E2 L6
ILMN_1725314,GBP3,guanylate binding protein 3
ILMN_2216637,STK32B,serine/threonine kinase 32B
ILMN_1691249,FBLIM1,filamin binding LIM protein 1
ILMN_1747650,BMP6,bone morphogenetic protein 6
ILMN_2092118,FPR1,formyl peptide receptor 1
ILMN_3229570,,
ILMN_3248443,SNHG6,small nucleolar RNA host gene 6
ILMN_2276000,CPNE1,copine 1
ILMN_1786823,ICAM2,intercellular adhesion molecule 2
ILMN_1785717,,
ILMN_2357730,CDK20,cyclin dependent kinase 20
ILMN_3214532,RPL21P28,ribosomal protein L21 pseudogene 28
ILMN_1756862,APOL3,apolipoprotein L3
ILMN_1796471,GDF5,growth differentiation factor 5
ILMN_1799113,CEP83,centrosomal protein 83
ILMN_1804798,,
ILMN_1717599,CNTN3,contactin 3
ILMN_1674386,PITX1,paired like homeodomain 1
ILMN_1835631,,
ILMN_1811616,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1
ILMN_1801302,SCN1B,sodium voltage-gated channel beta subunit 1
ILMN_2139761,LIMCH1,LIM and calponin homology domains 1
ILMN_1745471,IRF9,interferon regulatory factor 9
ILMN_1799487,N4BP2L1,NEDD4 binding protein 2 like 1
ILMN_1663171,MATN3,matrilin 3
ILMN_2240003,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ILMN_1715896,PMVK,phosphomevalonate kinase
ILMN_1769299,MTMR11,myotubularin related protein 11
ILMN_1786168,,
ILMN_1755419,EIF1AX,"eukaryotic translation initiation factor 1A, X-linked"
ILMN_1677262,,
ILMN_1773031,TAPBP,TAP binding protein (tapasin)
ILMN_2367671,LIMK2,LIM domain kinase 2
ILMN_2059452,SLC12A2,solute carrier family 12 member 2
ILMN_3257430,HNRNPUL1,heterogeneous nuclear ribonucleoprotein U like 1
ILMN_1728768,,
ILMN_1807649,SPOPL,speckle type BTB/POZ protein like
ILMN_1665982,AKTIP,AKT interacting protein
ILMN_1735788,TRIOBP,TRIO and F-actin binding protein
ILMN_1733538,RGS10,regulator of G-protein signaling 10
ILMN_1810376,C11orf87,chromosome 11 open reading frame 87
ILMN_3251662,HINT3,histidine triad nucleotide binding protein 3
ILMN_2276290,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2
ILMN_3299447,,
ILMN_1772991,CHPF2,chondroitin polymerizing factor 2
ILMN_2251804,SMC4,structural maintenance of chromosomes 4
ILMN_1752226,P2RY11,purinergic receptor P2Y11
ILMN_1789338,SORBS3,sorbin and SH3 domain containing 3
ILMN_3221432,PRG4,proteoglycan 4
ILMN_1732538,LBP,lipopolysaccharide binding protein
ILMN_3178302,FNDC3B,fibronectin type III domain containing 3B
ILMN_1739605,LYPD3,LY6/PLAUR domain containing 3
ILMN_1670353,RAD51AP1,RAD51 associated protein 1
ILMN_1811624,THADA,"THADA, armadillo repeat containing"
ILMN_1691149,,
ILMN_1905075,INTS6-AS1,INTS6 antisense RNA 1
ILMN_1707695,IFIT1,interferon induced protein with tetratricopeptide repeats 1
ILMN_1656920,CRIP1,cysteine rich protein 1
ILMN_1687384,IFI6,interferon alpha inducible protein 6
ILMN_3179396,,
ILMN_2045419,BNIP3L,BCL2 interacting protein 3 like
ILMN_1693323,SMIM8,small integral membrane protein 8
ILMN_3290100,,
ILMN_1669652,,
ILMN_1798816,GOSR1,golgi SNAP receptor complex member 1
ILMN_1754272,GINS3,GINS complex subunit 3
ILMN_1765641,SEMA3A,semaphorin 3A
ILMN_1700674,,
ILMN_1743714,CARD10,caspase recruitment domain family member 10
ILMN_3236637,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
ILMN_1683687,C1R,complement C1r subcomponent
ILMN_3202109,,
ILMN_1903345,,
ILMN_1678143,ARHGDIB,Rho GDP dissociation inhibitor beta
ILMN_1652754,ZNF428,zinc finger protein 428
ILMN_2403965,,
ILMN_2394561,IRF2BP2,interferon regulatory factor 2 binding protein 2
ILMN_1779258,,
ILMN_1770818,,
ILMN_1701613,RARRES3,retinoic acid receptor responder 3
ILMN_3256471,,
ILMN_1695880,LOX,lysyl oxidase
ILMN_1790962,RINL,Ras and Rab interactor like
ILMN_1740500,TSPYL4,TSPY like 4
ILMN_1770338,TM4SF1,transmembrane 4 L six family member 1
ILMN_3291413,,
ILMN_2383344,RSU1,Ras suppressor protein 1
ILMN_1651544,HDAC8,histone deacetylase 8
ILMN_1717366,MDFIC,MyoD family inhibitor domain containing
ILMN_3232894,CNRIP1,cannabinoid receptor interacting protein 1
ILMN_1734483,BSDC1,BSD domain containing 1
ILMN_1768595,DLG4,discs large MAGUK scaffold protein 4
ILMN_1710479,,
ILMN_1848916,TTLL7,tubulin tyrosine ligase like 7
ILMN_1727466,KCNMB4,potassium calcium-activated channel subfamily M regulatory beta subunit 4
ILMN_2323418,KRIT1,"KRIT1, ankyrin repeat containing"
ILMN_1744676,RNF112,ring finger protein 112
ILMN_1762718,CMTM4,CKLF like MARVEL transmembrane domain containing 4
ILMN_2092441,LRP12,LDL receptor related protein 12
ILMN_1722809,NRCAM,neuronal cell adhesion molecule
ILMN_1876924,WNK1,WNK lysine deficient protein kinase 1
ILMN_1791593,DENND5B,DENN domain containing 5B
ILMN_3224126,,
ILMN_1668752,,
ILMN_1766411,AP1S2,adaptor related protein complex 1 sigma 2 subunit
ILMN_2338785,RPS14,ribosomal protein S14
ILMN_1882018,,
ILMN_1789702,GBE1,"glucan (1,4-alpha-), branching enzyme 1"
ILMN_1859036,GPR180,G protein-coupled receptor 180
ILMN_1667429,SLC25A20,solute carrier family 25 member 20
ILMN_1663032,FNDC4,fibronectin type III domain containing 4
ILMN_1790688,AHNAK2,AHNAK nucleoprotein 2
ILMN_1722855,VEGFB,vascular endothelial growth factor B
ILMN_1778347,NUDT2,nudix hydrolase 2
ILMN_1720542,POLR2I,RNA polymerase II subunit I
ILMN_1720858,ABRACL,ABRA C-terminal like
ILMN_1793894,ANAPC13,anaphase promoting complex subunit 13
ILMN_1797384,UROS,uroporphyrinogen III synthase
ILMN_2217329,IAH1,isoamyl acetate-hydrolyzing esterase 1 homolog
ILMN_2370208,,
ILMN_2289381,DKK3,dickkopf WNT signaling pathway inhibitor 3
ILMN_1682227,ZNF404,zinc finger protein 404
ILMN_1687785,PPA2,pyrophosphatase (inorganic) 2
ILMN_2347798,IFI6,interferon alpha inducible protein 6
ILMN_1803143,SYVN1,synoviolin 1
ILMN_1684520,TSTD2,thiosulfate sulfurtransferase like domain containing 2
ILMN_1658639,SLC46A3,solute carrier family 46 member 3
ILMN_3259610,,
ILMN_3284177,,
ILMN_1672605,MTURN,"maturin, neural progenitor differentiation regulator homolog (Xenopus)"
ILMN_1797684,PDCD2,programmed cell death 2
ILMN_3263225,,
ILMN_2337241,RPS15A,ribosomal protein S15a
ILMN_3236858,NYNRIN,NYN domain and retroviral integrase containing
ILMN_2051684,C4orf3,chromosome 4 open reading frame 3
ILMN_2148459,B2M,beta-2-microglobulin
ILMN_1734611,BDKRB1,bradykinin receptor B1
ILMN_1869278,,
ILMN_1786612,PSME2,proteasome activator subunit 2
ILMN_1776522,SLC50A1,solute carrier family 50 member 1
ILMN_1741632,RAB3IL1,RAB3A interacting protein like 1
ILMN_1698369,,
ILMN_1799389,FBXL6,F-box and leucine rich repeat protein 6
ILMN_1670912,ACVR2A,activin A receptor type 2A
ILMN_2051469,E2F1,E2F transcription factor 1
ILMN_1747195,PSMB8,proteasome subunit beta 8
ILMN_1793832,GRB14,growth factor receptor bound protein 14
ILMN_1786021,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2
ILMN_1807277,IFI30,"IFI30, lysosomal thiol reductase"
ILMN_1815346,TMEM136,transmembrane protein 136
ILMN_2379644,CD74,CD74 molecule
ILMN_1678170,MME,membrane metallo-endopeptidase
ILMN_1659470,,
ILMN_1730454,FOLR3,folate receptor 3
ILMN_1659766,BAG3,BCL2 associated athanogene 3
ILMN_1756727,ANKRD30A,ankyrin repeat domain 30A
ILMN_1867517,RORA,RAR related orphan receptor A
ILMN_1764186,ATXN1L,ataxin 1 like
ILMN_1704398,FZD9,frizzled class receptor 9
ILMN_1683886,,
ILMN_3282174,,
ILMN_3226875,,
ILMN_1678116,XAGE1E,X antigen family member 1E
ILMN_1828245,,
ILMN_1673363,ADGRE5,adhesion G protein-coupled receptor E5
ILMN_2341254,STARD13,StAR related lipid transfer domain containing 13
ILMN_1864900,MIAT,myocardial infarction associated transcript (non-protein coding)
ILMN_3244893,BAG2,BCL2 associated athanogene 2
ILMN_1804117,FAM89B,family with sequence similarity 89 member B
ILMN_1679318,ARSJ,arylsulfatase family member J
ILMN_2352097,ADGRG1,adhesion G protein-coupled receptor G1
ILMN_3241834,,
ILMN_1687978,PHLDA1,pleckstrin homology like domain family A member 1
ILMN_1656292,,
ILMN_1682572,C2CD5,C2 calcium dependent domain containing 5
ILMN_1844408,PLXNA2,plexin A2
ILMN_1730628,RNASE2,ribonuclease A family member 2
ILMN_3185709,IP6K2,inositol hexakisphosphate kinase 2
ILMN_1747023,PTGIR,prostaglandin I2 (prostacyclin) receptor (IP)
ILMN_1785330,SH3BP4,SH3 domain binding protein 4
