ID_REF,Control_1,Control_2,Control_3,Control_4,SARA_Infected_1,SARA_Infected_2,SARA_Infected_3,SARA_Infected_4
200699_at,441.1,348.1,391.7,449.9,547,522.8,234.2,300.6
200701_at,2157,3513.6,3482.8,3432.4,4320.8,3867.9,4319.5,6456.5
200703_at,3137.2,3253.3,3071,2866.4,4093.9,3788.8,6120,1241.4
200704_at,4364.1,2602.5,3220.1,2545.7,3736.9,3442.8,2895.5,11338.5
200705_s_at,11644.9,7744.1,11678.7,9231.1,11192,8539.2,6130,7236
200707_at,460.2,327,521.4,554.7,413.8,401.2,12.1,386.4
200708_at,582.4,588.5,626.4,692.4,621.9,663.4,640.8,532.9
200709_at,3020.8,2250,1933.5,2329.6,2213,2675.8,200.4,1944.5
200713_s_at,2480.8,2590.2,2394.1,2531.5,2157.9,2617.9,2410.4,2399
200716_x_at,14777.5,13047.1,15035.3,11577.8,19861.4,21437,7737.7,21891.9
200717_x_at,17154.5,13254.2,17653.1,12378.3,24534.2,33558.8,15599,22812.6
200718_s_at,6755.3,6830.8,5902.9,5315.6,8462.7,8419.7,34418,5485.1
200720_s_at,377.9,390.6,255.5,290.5,426.9,318.3,358,480.1
200722_s_at,800.2,1318.8,1104.3,883.3,276.8,565.4,337.9,414.9
200726_at,2344.4,2817.4,2187.5,2642,2224.7,1666.6,4401.3,1423.2
200728_at,2327.1,4240.9,4598.6,3854.9,2941.8,3029,406.1,3445.6
200733_s_at,435.6,526.8,464,581.2,470.7,255.5,760.5,151
200735_x_at,10665.7,10868.2,12089.3,9618.7,16660.6,20177.6,7465.6,17586.4
200736_s_at,1097.5,3212.6,4359.1,4984.3,7561.3,7497.9,349.5,7218.5
200738_s_at,4301.8,5060.9,4791.5,4509.1,5769.8,6223.2,5742.1,7698.3
200740_s_at,1602.4,1752.1,1514.4,1525.2,1556.4,1304.5,1875.3,1550.9
200741_s_at,20771.8,15806.3,15503.8,10879,25906.6,39716,36263.5,29299.1
200743_s_at,3429.2,3118,3013.5,3576.7,4238.2,3734.2,3706.7,2528.3
200745_s_at,2077,1933.3,1669.8,1783.2,1349.9,1575.4,243.2,1048.8
200748_s_at,4603.5,8387.5,11089.6,7901.4,11603.6,15191.3,2015.9,22982.1
200750_s_at,1684.6,1964,2057,1782.5,1755.6,1632.1,283.7,1395.5
200752_s_at,350.8,239.2,240.7,317.7,430.8,290.1,309.9,379.2
200757_s_at,410.9,367,413,358.4,366.9,337,1019.7,346
200761_s_at,5223.9,5730.7,4732.9,4705.1,5042.3,5273,14417,4410
200762_at,1155.1,2190.6,1888.3,1995.2,2484.8,2544.6,4800.8,1384
200763_s_at,16519,13583,16330.3,12593.6,27416.4,38868.2,5715.8,26898
200764_s_at,596.1,708.4,552,484.1,622.4,749.3,271.3,675.7
200766_at,377.6,527.5,441,538.7,725.4,921.9,24,894.2
200768_s_at,1772.3,1793.8,1818.1,1733.8,1527,1285.4,1392.4,1376.2
200773_x_at,8155.8,7223.8,6841.5,4951.1,9116.6,11841.5,10016.1,7282.8
200779_at,1494.9,2201.8,2301.1,2057.2,3625.7,3582.4,3037.1,3314.3
200781_s_at,14571.8,12087,10399.4,8815.1,19042.9,24483.9,7176.8,16444.7
200782_at,924.4,2365.2,2012.2,2862.2,2493.8,2171.6,1422.3,3325.5
200785_s_at,455.8,460.8,470.6,640.2,520.5,444,213.8,535.6
200786_at,894.3,1136.1,1072.1,1178.7,1270.6,1007.6,407.2,1226.6
200788_s_at,1070.7,1140.1,1184.1,1485,1124.1,819,573.9,479.3
200790_at,2342.8,1168.6,1997,1816.4,2140.3,2142.5,615.1,594.6
200792_at,2025.4,2322.9,3202.8,3260.7,3036.6,2587.8,907,3087.2
200797_s_at,9301.2,8688.9,8930,6918.1,6791.2,8062.2,5490.1,9059.4
200800_s_at,626.8,1219.8,1075.3,1336.8,1153.3,1571.3,37,4107.2
200804_at,3327.4,3427.4,3902.1,3493.2,3176,4094.7,1423,4440
200807_s_at,2613.5,3063.6,3579,3259.4,2841.9,2559.4,3029.4,1147.9
200808_s_at,898.6,683.2,995.1,1015.5,1483.5,1641.7,511.8,2363.1
200809_x_at,9099.6,10113.9,12512.1,10078.8,12590.1,14720.9,8830.3,16160.6
200810_s_at,2286,1865.5,1978.4,1858.4,1877.9,1481.9,4244.1,2041.3
200812_at,701.5,897.1,1009.7,939.1,809.5,736.5,65.8,366.9
200814_at,3240,3327.6,3483.6,2759.6,3148.2,3200.6,1018.2,3788.8
200816_s_at,1913.3,1210.3,1231.7,1357.6,865.3,913.5,534.4,681.4
200817_x_at,20626.5,18412.7,18524.4,14699.9,33307.7,38618.5,6237,34324.5
200818_at,3072.8,2780.4,3489.8,3314,4091.8,3470,1826.4,2742.1
200819_s_at,12447.7,12628.3,13247.8,9845.7,17106,19388.4,4938.2,22660.2
200821_at,966.9,1077.2,870.5,870.6,761.2,421.7,1232.4,310.7
200823_x_at,6305.6,6590.1,8809.2,7065,7894.9,7705.2,733.6,6791.8
200824_at,1241.7,1021.1,1749.5,1413.7,1876,1752.5,271.1,2246.3
200825_s_at,1165.4,1178.2,1295.9,1102.9,1299.2,778.3,1066.7,403.1
200826_at,3433.4,3220.4,4002.9,3358.8,4130,3137.8,765.5,3007.3
200828_s_at,2332.2,2659.4,2315.8,2409.4,1362.9,1540.2,1197.5,1933.6
200830_at,567.1,842.2,656.3,828.3,901.4,868.4,486.1,744.6
200834_s_at,13502.4,11879.8,16002.4,13095.1,20327.6,15854.9,43820.9,19281.5
200837_at,1131.9,1534.7,1433.8,1545,2002.1,2126.5,166.3,1989.8
200839_s_at,1556.1,2304,2140.2,2867,3397.5,4517.3,5418.1,5797.7
200840_at,3005.5,3430.4,3738.5,3657.9,3594.7,3284.3,15032.9,3641.5
200843_s_at,673.5,671.1,837.4,653.9,657,432.9,991.1,426.1
200845_s_at,1258.7,1627.2,1141.4,1267.6,1263.1,1621.5,3673.6,1328.1
200846_s_at,1483.3,2339.2,2382.1,2008,1936.8,1457.3,324.4,2293
200847_s_at,4736.9,4269.1,4417.3,3938.9,2859.9,4050.6,4589.1,4235.3
200850_s_at,1159.7,987.3,1164.7,1167.7,1256.5,1170.4,478.3,1079
200852_x_at,1072.7,1029.5,1269,1167.7,1151.3,1670.2,698.6,1722.7
200853_at,1533.2,2722.7,2468.9,1603.7,2758.9,1922.6,417.4,1899
200854_at,1086.6,926,796.8,690.4,534,579.3,1017.5,505.7
200858_s_at,8667.8,9543.3,11515.6,8238.8,13289.9,11816.5,2179.9,8330.9
200863_s_at,2257,1919.2,1804.9,1732.9,1967.1,2777.9,3839.8,2040.2
200866_s_at,4538.6,8984.6,7859.3,6832.8,5764.8,7007.9,611.3,7683.7
200867_at,603.3,761.6,752.3,807.9,378.8,471.2,33,393
200869_at,11628.7,15806.2,15427.6,12988.8,18081.1,19765.1,1918.8,20514.9
200870_at,2530.7,1807.6,1635.6,2043.3,2022.2,1869,2292.3,1108
200872_at,4192.8,4645.5,5809.1,5184.7,6133.3,13827.8,6916.5,5750
200873_s_at,3104.3,2640.3,2389.9,2303.2,3138.7,2763.9,4734.3,1914.8
200875_s_at,817,737.2,1073.8,772.3,751.6,746.9,834.9,830.7
200876_s_at,1482.2,2553.9,2080.6,2357.9,1971.4,1995.3,181,1570.3
200877_at,2015,2003.3,3337.9,3068.9,2095.7,1766.7,445.9,1290.4
200880_at,1215.4,1535.1,1376.3,1322.7,926.8,1041.8,1659.8,950.2
200882_s_at,822.1,1428.7,1688.6,1259.4,1957.8,2075.6,2476.7,1889.5
200885_at,681.2,1434.9,838.1,795.6,865.7,728.6,180.5,721
200886_s_at,2601.1,2933.2,2899.7,2668.6,4264.6,4215.8,1901.1,3700.9
200887_s_at,3662,5445.3,3682.4,2864.3,2701.1,3296.7,5920.6,2427.6
200888_s_at,12676,11309.7,11367.9,9408.6,16296.8,17897.6,4747.7,15956.1
200891_s_at,1960.2,3568.4,2352.2,2900.5,3586.3,4039.6,10878.5,1258.9
200893_at,2345.3,2664.2,3489.3,3190.8,3110.1,2766.9,8432.7,2701.3
200896_x_at,1359.8,1112.1,1095,1054.4,1397.9,1299.5,548.1,1333.4
200899_s_at,2050.1,1957,2234.6,1908.8,832.3,849.8,1446.2,641.9
200901_s_at,1723.4,2106.7,1758,1584.6,1954.2,1710.9,245.6,1807.9
200902_at,1719.2,2213,1989.9,1812.1,1338.8,937.1,932.1,609.7
200903_s_at,390.3,305.8,501.4,446.6,409.2,368.3,67,458.8
200904_at,5741.2,6599.5,5086.5,5137,5122.5,6974,528.7,9044.8
200909_s_at,13681.2,13096.2,16542.7,12935.4,23562.9,25583.4,5468.1,21746.4
200910_at,1366,1876.2,1724.3,1400.8,1309.3,1318.7,345.2,751.5
200911_s_at,3279.4,2333.1,2073.8,2640.5,1943.6,2114.9,2141.3,2162.2
200912_s_at,9049.9,7074.4,6760,6621.7,4744,4366.5,5177.4,4158.8
200918_s_at,1996.7,1531.2,1383.6,1244.8,1196.3,1591.1,1223.3,859.5
200921_s_at,8849.8,6228.7,6636.2,5935.2,5053.6,5534.7,3064.1,5014.1
200922_at,241.8,181.2,212.8,278,165.4,248,265.2,207.5
200925_at,2334.1,3579.6,3559.2,3452.9,5882,5415.5,4127.5,5639.7
200926_at,22523.3,17877.7,19892.1,13595.6,31543,59732.5,36886.3,34195.3
200929_at,790.6,1032.6,970.9,1124.9,794,1020.7,874.4,800.2
200931_s_at,3594.1,2308.4,2091,2785,3320.1,4200,1874.9,2898.7
200933_x_at,13042.2,12630.6,14011.4,10776.7,20468.4,29226.6,17940.5,23403.4
200934_at,2909.6,2485.7,1785.3,1953,1609.1,2383.6,3418.9,2230.8
200936_at,8005.1,8453,12263.7,10815.7,11825.1,10167,789.8,11130.8
200937_s_at,13744.7,7304.4,9821.1,8139.6,10474.1,10833.9,2774.1,5921.1
200940_s_at,906.4,896.1,1004.6,1002.2,975,856.7,467.5,1563.2
200942_s_at,594.7,1474,1370.6,1123.3,1203.6,1435.7,824.8,1123
200944_s_at,4126,3394.9,3179.3,3066.1,3095,2277.4,7242,1562.9
200945_s_at,1768.5,1990.1,2050.8,2192,2117.9,1681.8,5763.2,765.6
200947_s_at,903.1,1199.4,1018.4,949.3,1302.3,587.6,765.5,457.7
200948_at,656.9,514.3,790.5,712.7,562.4,521.3,233.4,527.9
200953_s_at,2527,2977.2,2194.9,2172.7,1780.5,1866.6,866.3,1074
200955_at,606.9,985.8,907,883.3,998.8,875.9,1201.8,738.4
200957_s_at,440.2,239.2,324.1,387.1,337.8,255.4,225.6,284.2
200958_s_at,6744.5,5148.9,5291,4553.4,6953.6,9226,13151.5,9870.9
200959_at,1131.5,1361.3,1508.6,1219.7,1017,1025.8,407.6,818.9
200961_at,750.7,663.5,740.6,697.1,641.5,636.5,437.4,731.3
200962_at,880.2,612.9,1017.7,712.2,543.6,603.5,1142.2,192.9
200964_at,2527,1824.7,1924.7,1634.1,2319.8,1986.1,197.1,2613.9
200965_s_at,3124.4,2060.1,3269,2510.1,1199.3,843.2,582.4,664.7
200966_x_at,872.4,3847.8,4427.3,4129.3,5766.8,6306,774.8,7992.3
200968_s_at,674.3,1941.3,1878.3,1843.2,2695.4,2544.7,244,2541
200971_s_at,6014.1,4970.5,4350.7,4366,5935.9,5244.6,7090.7,3636.1
200972_at,677,847,837.2,795.3,787.7,468,836,567.6
200974_at,351.2,266.1,243.1,262.4,266.4,321.8,253.5,368.6
200975_at,3074.5,3083.5,3853,3561.8,4507.7,5044.3,4377.6,4324.5
200976_s_at,2264,1754.4,1669.2,1778.5,2353.4,3040.5,1307.6,3112.8
200978_at,2769.9,2041.1,2031.8,1900.9,1623.8,1419.2,531.9,1385.2
200980_s_at,691.8,730.4,732.2,670.3,634.6,746.1,588.9,846.6
200982_s_at,1915.5,2210.6,2744.4,2082.3,2246,2816.5,611.1,1464.4
200984_s_at,474.7,528.3,427.4,402,569.6,383.7,49.8,485.9
200988_s_at,315.7,184.4,215.4,231.7,248.2,172.5,153.7,127
200989_at,2226.5,2621.9,2908.4,2435.9,2952,2624,9275.6,3672
200990_at,1129.7,847.8,1576.4,1478.9,869.6,833.5,89,740.8
200992_at,1231.6,1058.6,1103,1006.8,408.1,485.8,723.7,258.7
200996_at,4675.8,5327.5,4312.2,3860.5,3891.5,3616.9,2600.4,3682.8
200997_at,1031,785.3,940.7,941.1,942.5,732.4,694,684.5
200998_s_at,228.1,316.9,418.4,410.2,844.4,918.3,895.4,827.2
201002_s_at,2335.5,1540.9,1453.7,1771.1,1728,1553.1,286,1390.6
201004_at,1781.6,3270,3072.5,2995.5,3808.4,2859.4,1099.1,3522.9
201007_at,2014.1,1780.3,1889.5,1845.6,1861.4,2026.7,4212.5,1961.9
201010_s_at,9989.6,11044.8,8048.8,6764.4,10288.4,16993.4,2640.5,18340.5
201011_at,650.4,1035.7,1023.5,1005.2,1420.4,1099.4,891.9,959.1
201012_at,4539.7,4615.4,4944.5,5146.3,8623.2,6741.7,3797.4,6451.2
201013_s_at,570.6,377.3,515.6,401.4,545.7,297.5,1006.9,229.8
201018_at,1043.9,880.2,936.5,938.3,219.4,262.8,470.5,259.8
201020_at,466.9,970.2,740.4,830.5,1261.4,1187.9,224.2,820.2
201022_s_at,1306.4,1184.4,1166,1346.6,1223.4,1081.7,2593.6,1327.3
201023_at,2333.7,1523.6,1561,1905.7,1246.9,981.5,822.4,1197.8
201029_s_at,3567,3743.1,3949.9,3500.8,4034.8,5246.2,1612.6,3662.6
201030_x_at,5960.1,4369.5,6543.7,5355.4,4879,3781.1,3667.4,4864.9
201031_s_at,1174.2,5600.6,5625.3,4702.7,6252.1,4592,6496.9,2595.8
201032_at,1051.8,1008.9,1136.6,1056.4,888.1,858.7,445.8,655.5
201034_at,6688.3,5463,4987.7,5097.3,4150.8,3496.6,9039.8,3732.3
201037_at,289.9,439.1,441.9,613.7,384.5,252.5,267.7,280.2
