ID,GB_ACC,Gene Symbol
200788_s_at,NM_003768,PEA15
200789_at,NM_001398,ECH1
200790_at,NM_002539,ODC1
200792_at,NM_001469,XRCC6
200793_s_at,NM_001098,ACO2
200795_at,NM_004684,SPARCL1
200797_s_at,AI275690,MCL1
200800_s_at,NM_005345,HSPA1A /// HSPA1B /// HSPA1L
200802_at,NM_006513,SARS
200804_at,NM_003217,TMBIM6
200805_at,NM_006816,LMAN2
200807_s_at,NM_002156,HSPD1
200808_s_at,NM_003461,ZYX
200809_x_at,NM_000976,RPL12
200810_s_at,NM_001280,CIRBP
200812_at,NM_006429,CCT7
200814_at,NM_006263,PSME1
200816_s_at,NM_000430,PAFAH1B1
200817_x_at,NM_001014,RPS10
200818_at,NM_001697,ATP5O
200819_s_at,NM_001018,RPS15
200820_at,NM_002812,PSMD8
200821_at,NM_013995,LAMP2
200823_x_at,NM_000992,RPL29
200824_at,NM_000852,GSTP1
200825_s_at,NM_006389,HYOU1
200826_at,NM_004597,SNRPD2
200827_at,NM_000302,PLOD1
200828_s_at,BE871379,ZNF207
200830_at,NM_002808,PSMD2
200832_s_at,AB032261,SCD
200834_s_at,NM_001024,RPS21
200837_at,NM_005745,BCAP31
200839_s_at,NM_001908,CTSB
200840_at,NM_005548,KARS
200843_s_at,NM_004446,EPRS
200845_s_at,NM_004905,PRDX6
200846_s_at,NM_002708,PPP1CA
200847_s_at,NM_016127,SARAF
200850_s_at,NM_006621,AHCYL1
200852_x_at,NM_005273,GNB2
200853_at,NM_002106,H2AFZ
200854_at,AB028970,NCOR1
200858_s_at,NM_001012,RPS8 /// SNORD38B /// SNORD55
200862_at,NM_014762,DHCR24
200863_s_at,AI215102,RAB11A
200866_s_at,M32221,PSAP
200867_at,AL031685,RNF114
200869_at,NM_000980,RPL18A /// SNORA68
200870_at,NM_007178,STRAP
200872_at,NM_002966,S100A10
200873_s_at,NM_006585,CCT8
200875_s_at,NM_006392,MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86
200876_s_at,NM_002793,PSMB1
200877_at,NM_006430,CCT4
200878_at,AF052094,EPAS1
200880_at,AL534104,DNAJA1
200882_s_at,NM_002810,PSMD4
200884_at,NM_001823,CKB
200885_at,NM_005167,RHOC
200886_s_at,NM_002629,PGAM1
200887_s_at,NM_007315,STAT1
200888_s_at,NM_000978,RPL23 /// SNORA21
200891_s_at,NM_003144,SSR1
200893_at,NM_004593,TRA2B
200895_s_at,NM_002014,FKBP4
200896_x_at,NM_004494,HDGF
200899_s_at,NM_012215,MGEA5
200901_s_at,NM_002355,M6PR /// PHC1
200902_at,NM_004261,SEP15
200903_s_at,NM_000687,AHCY
200904_at,X56841,HLA-E
200909_s_at,NM_001004,RPLP2 /// SNORA52
200910_at,NM_005998,CCT3 /// LOC101927137
200911_s_at,NM_006283,TACC1
200912_s_at,NM_001967,EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2
200913_at,NM_002707,PPM1G
200918_s_at,NM_003139,SRPR
200919_at,NM_004427,PHC2
200921_s_at,NM_001731,BTG1
200922_at,NM_006801,KDELR1
200923_at,NM_005567,LGALS3BP
200924_s_at,NM_002394,SLC3A2
200925_at,NM_004373,COX6A1
200926_at,NM_001025,RPS23
200929_at,NM_006827,TMED10
200931_s_at,NM_014000,VCL
200932_s_at,NM_006400,DCTN2
200933_x_at,NM_001007,RPS4X
200934_at,NM_003472,DEK
200936_at,NM_000973,RPL8
200937_s_at,NM_000969,RPL5 /// SNORD21
200940_s_at,AB036737,RERE
200942_s_at,NM_001537,HSBP1
200944_s_at,NM_004965,HMGN1 /// LOC101927733
200945_s_at,NM_014933,SEC31A
200947_s_at,NM_005271,GLUD1
200948_at,NM_005439,MLF2
200950_at,NM_006409,ARPC1A
200953_s_at,NM_001759,CCND2
200955_at,NM_006839,IMMT
200957_s_at,NM_003146,SSRP1
200958_s_at,NM_005625,SDCBP
200959_at,NM_004960,FUS
200961_at,NM_012248,SEPHS2
200962_at,AI348010,RPL31
200964_at,NM_003334,UBA1
200965_s_at,NM_006720,ABLIM1
200966_x_at,NM_000034,ALDOA
200968_s_at,NM_000942,PPIB
200971_s_at,NM_014445,LOC101928061 /// SERP1
200972_at,BC000704,TSPAN3
200974_at,NM_001613,ACTA2
200975_at,NM_000310,PPT1
200976_s_at,NM_006024,TAX1BP1
200978_at,NM_005917,MDH1
200980_s_at,NM_000284,PDHA1
200982_s_at,NM_001155,ANXA6
200984_s_at,X16447,CD59
200986_at,NM_000062,SERPING1
200988_s_at,NM_005789,PSME3
200989_at,NM_001530,HIF1A
200990_at,NM_005762,TRIM28
200992_at,AL137335,IPO7
200996_at,NM_005721,ACTR3
200997_at,NM_002896,RBM14-RBM4 /// RBM4
200998_s_at,AW029619,CKAP4
201000_at,NM_001605,AARS
201002_s_at,U39361,TMEM189 /// TMEM189-UBE2V1 /// UBE2V1 /// UBE2V2
201004_at,NM_006280,SSR4
201005_at,NM_001769,CD9
201007_at,NM_000183,HADHB
201010_s_at,NM_006472,TXNIP
201011_at,NM_002950,RPN1
201012_at,NM_000700,ANXA1
201013_s_at,AA902652,PAICS
201015_s_at,NM_021991,JUP
201018_at,AL079283,EIF1AX
201020_at,NM_003405,YWHAH
201022_s_at,NM_006870,DSTN
201023_at,NM_005642,TAF7
201029_s_at,NM_002414,CD99
201030_x_at,NM_002300,LDHB
201031_s_at,NM_005520,HNRNPH1
201032_at,NM_006698,BLCAP
201034_at,BE545756,ADD3
201037_at,NM_002627,PFKP
201039_s_at,BF572938,RAD23A
201040_at,NM_002070,GNAI2
201041_s_at,NM_004417,DUSP1
201042_at,AL031651,TGM2
201049_s_at,NM_022551,RPS18
201050_at,NM_012268,PLD3
201051_at,BE560202,ANP32A
201052_s_at,BG029917,PSMF1
201055_s_at,NM_006805,HNRNPA0
201057_s_at,NM_004487,GOLGB1
201058_s_at,NM_006097,MYL9
201059_at,NM_005231,CTTN
201063_at,NM_002901,RCN1
201064_s_at,NM_003819,LOC100996696 /// PABPC4
201066_at,NM_001916,CYC1
201068_s_at,NM_002803,PSMC2
201069_at,NM_004530,MMP2
201075_s_at,NM_003074,SMARCC1
201077_s_at,AF155235,ANXA2 /// NHP2L1
201078_at,NM_004800,TM9SF2
201079_at,NM_004710,SYNGR2
201080_at,BF338509,PIP4K2B
201082_s_at,NM_004082,DCTN1 /// SLC4A5
201087_at,NM_002859,PXN
201088_at,NM_002266,KPNA2
201089_at,NM_001693,ATP6V1B2
201092_at,NM_002893,RBBP7
201094_at,NM_001032,RPS29
201095_at,NM_004394,DAP
201097_s_at,NM_001660,ARF4
201098_at,NM_004766,COPB2
201099_at,AA824386,USP9X
201102_s_at,NM_002626,PFKL
201105_at,NM_002305,LGALS1
201106_at,NM_002085,GPX4
201110_s_at,NM_003246,THBS1
201111_at,AF053641,CSE1L
201113_at,NM_003321,TUFM
201115_at,NM_006230,POLD2
201117_s_at,NM_001873,CPE
201118_at,NM_002631,PGD
201119_s_at,NM_004074,COX8A
201121_s_at,NM_006667,PGRMC1
201124_at,AL048423,ITGB5
201126_s_at,NM_002406,MGAT1
201128_s_at,NM_001096,ACLY
201129_at,NM_006276,SRSF7
201131_s_at,NM_004360,CDH1
201132_at,NM_019597,HNRNPH2 /// RPL36A-HNRNPH2
201135_at,NM_004092,ECHS1
201136_at,NM_002668,PLP2
201137_s_at,NM_002121,HLA-DPB1
201138_s_at,BG532929,SSB
201140_s_at,NM_004583,RAB5C
201141_at,NM_002510,GPNMB
201142_at,AA577698,EIF2S1
201145_at,NM_006118,HAX1
201146_at,NM_006164,NFE2L2
201149_s_at,U67195,TIMP3
201153_s_at,NM_021038,MBNL1
201157_s_at,AF020500,NMT1
201160_s_at,AL556190,YBX3
201163_s_at,NM_001553,IGFBP7
201166_s_at,NM_014676,PUM1
201170_s_at,NM_003670,BHLHE40
201174_s_at,NM_018975,TERF2IP
201176_s_at,NM_001655,ARCN1
201177_s_at,NM_005499,UBA2
201178_at,NM_012179,FBXO7
201180_s_at,J03198,GNAI3
201183_s_at,AI613273,CHD4
201185_at,NM_002775,HTRA1
201186_at,NM_002337,LRPAP1
201189_s_at,NM_002224,ITPR3
201192_s_at,NM_006224,PITPNA
201193_at,NM_005896,IDH1
201194_at,NM_003009,SEPW1
201195_s_at,AB018009,SLC7A5
201197_at,NM_001634,AMD1
201198_s_at,AI860431,PSMD1
201200_at,NM_003851,CREG1
201201_at,NM_000100,CSTB
201202_at,NM_002592,PCNA
201205_at,AF006751,
201207_at,NM_021137,TNFAIP1
201209_at,NM_004964,HDAC1
201210_at,NM_001356,DDX3X
201212_at,D55696,LGMN
201215_at,NM_005032,PLS3
201216_at,NM_006817,ERP29
201221_s_at,NM_003089,SNRNP70
201222_s_at,AL527365,RAD23B
201225_s_at,NM_005839,SRRM1
201227_s_at,NM_005004,NDUFB8
201229_s_at,BC000422,ARIH2
201231_s_at,NM_001428,ENO1
201232_s_at,NM_002817,PSMD13
201234_at,NM_004517,ILK
201236_s_at,NM_006763,BTG2
201237_at,AV685920,CAPZA2
201241_at,NM_004939,DDX1
201242_s_at,BC000006,ATP1B1
201244_s_at,NM_002880,RAF1
201247_at,BE513151,SREBF2
201250_s_at,NM_006516,SLC2A1
201251_at,NM_002654,PKM
201252_at,NM_006503,PSMC4
201253_s_at,NM_006319,CDIPT
201256_at,NM_004718,COX7A2L
201257_x_at,NM_001006,RPS3A /// SNORD73A
201258_at,NM_001020,RPS16
201260_s_at,NM_006754,SYPL1
201262_s_at,NM_001711,BGN
201263_at,NM_003191,TARS
201264_at,NM_007263,COPE
201266_at,NM_003330,TXNRD1
201267_s_at,AL545523,PSMC3
201268_at,NM_002512,NME1-NME2 /// NME2
201271_s_at,NM_016732,RALY
201272_at,NM_001628,AKR1B1
201273_s_at,NM_003133,SRP9
201274_at,NM_002790,PSMA5
201275_at,NM_002004,FDPS
201276_at,AF267863,RAB5B
201277_s_at,NM_004499,HNRNPAB
201278_at,N21202,DAB2 /// LOC101926921
201281_at,NM_007002,ADRM1
201282_at,NM_002541,OGDH
201284_s_at,NM_001640,APEH
201285_at,NM_013446,MKRN1
201286_at,Z48199,SDC1
201288_at,NM_001175,ARHGDIB
201289_at,NM_001554,CYR61
201290_at,NM_014300,SEC11A
201292_at,AL561834,TOP2A
201293_x_at,NM_021130,LOC101060363 /// PPIA
201300_s_at,NM_000311,PRNP
201302_at,NM_001153,ANXA4
201304_at,NM_005000,NDUFA5
201312_s_at,NM_003022,SH3BGRL
201313_at,NM_001975,ENO2
201314_at,NM_006374,STK25
201315_x_at,NM_006435,IFITM2
201317_s_at,NM_002787,PSMA2
201318_s_at,NM_006471,MYL12A /// MYL12B
201321_s_at,NM_003075,SMARCC2
201322_at,NM_001686,ATP5B
201323_at,NM_006824,EBNA1BP2 /// MIR6733
201324_at,NM_001423,EMP1
201327_s_at,NM_001762,CCT6A
201329_s_at,NM_005239,ETS2
201330_at,NM_002887,RARS
201331_s_at,BC004973,STAT6
201336_at,BC003570,VAMP3
201339_s_at,NM_002979,SCP2
201341_at,NM_003633,ENC1
201342_at,NM_003093,SNRPC
201343_at,BE621259,UBE2D2
201348_at,NM_002084,GPX3
201349_at,NM_004252,SLC9A3R1
201350_at,NM_004475,FLOT2
201351_s_at,AF070656,YME1L1
201353_s_at,AI653126,BAZ2A
201356_at,BF129339,SF3A1
201358_s_at,NM_016451,COPB1
201360_at,NM_000099,CST3
201362_at,AF205218,IVNS1ABP
201364_s_at,AF242521,OAZ2
201368_at,U07802,ZFP36L2
201371_s_at,AF062537,CUL3
201373_at,NM_000445,PLEC
201375_s_at,NM_004156,PPP2CB
201376_s_at,AI591354,HNRNPF
201379_s_at,NM_003288,TPD52L2
201380_at,NM_006371,CRTAP
201384_s_at,NM_005899,NBR1
201386_s_at,AF279891,DHX15
201387_s_at,NM_004181,UCHL1
201388_at,NM_002809,PSMD3
201389_at,NM_002205,ITGA5
201390_s_at,NM_001320,CSNK2B
201391_at,NM_016292,TRAP1
201393_s_at,NM_000876,IGF2R
201394_s_at,U23946,RBM5
201396_s_at,NM_003021,SGTA
201397_at,NM_006623,PHGDH
201398_s_at,BC000687,TRAM1
201400_at,NM_002795,PSMB3
201403_s_at,NM_004528,MGST3
201405_s_at,NM_006833,COPS6
201406_at,NM_021029,RPL36A /// RPL36A-HNRNPH2
201407_s_at,AI186712,PPP1CB
201413_at,NM_000414,HSD17B4
201414_s_at,NM_005969,NAP1L4
201415_at,NM_000178,GSS
201417_at,AL136179,SOX4
201419_at,NM_004656,BAP1
201422_at,NM_006332,IFI30 /// PIK3R2
201424_s_at,NM_003589,CUL4A
201425_at,NM_000690,ALDH2
201426_s_at,AI922599,VIM
201427_s_at,NM_005410,SEPP1
201428_at,NM_001305,CLDN4
201429_s_at,NM_000998,RPL37A
201431_s_at,NM_001387,DPYSL3
201432_at,NM_001752,CAT
201433_s_at,NM_014754,PTDSS1
201434_at,NM_003314,TTC1
201436_at,AI742789,EIF4E
201438_at,NM_004369,COL6A3
201439_at,NM_004193,GBF1
201441_at,NM_001863,COX6B1
201443_s_at,AF248966,ATP6AP2
201445_at,NM_001839,CNN3
201448_at,AL046419,TIA1
201455_s_at,AJ132583,NPEPPS
201458_s_at,NM_004725,BUB3
201459_at,NM_006666,RUVBL2
201460_at,AI141802,MAPKAPK2
201463_s_at,NM_006755,TALDO1
201468_s_at,NM_000903,NQO1
201470_at,NM_004832,GSTO1
201471_s_at,NM_003900,SQSTM1
201472_at,NM_003372,VBP1
201473_at,NM_002229,JUNB
201474_s_at,NM_002204,ITGA3
201477_s_at,NM_001033,RRM1
201479_at,NM_001363,DKC1 /// MIR664B /// SNORA56
201480_s_at,NM_003169,SUPT5H
201481_s_at,NM_002862,PYGB
201482_at,NM_002826,QSOX1
201484_at,NM_003168,SUPT4H1
201486_at,NM_002902,RCN2
201487_at,NM_001814,CTSC
201489_at,BC005020,PPIF
201491_at,NM_012111,AHSA1
201492_s_at,NM_021104,RPL41
201494_at,NM_005040,PRCP
201496_x_at,S67238,MYH11
201498_at,AI160440,USP7
201500_s_at,NM_021959,PPP1R11
201502_s_at,AI078167,NFKBIA
201503_at,BG500067,G3BP1
201505_at,NM_002291,LAMB1
201506_at,NM_000358,TGFBI
201507_at,NM_002622,PFDN1
201508_at,NM_001552,IGFBP4
201511_at,NM_001087,AAMP
201513_at,AI659180,TSN
201516_at,NM_003132,SRM
201517_at,BC001255,NCBP2
201518_at,NM_006807,CBX1
201520_s_at,BF034561,GRSF1
201522_x_at,NM_003097,SNRPN /// SNURF
201525_at,NM_001647,APOD
201526_at,NM_001662,ARF5
201527_at,NM_004231,ATP6V1F /// LOC101927180
201528_at,BG398414,RPA1
201530_x_at,NM_001416,EIF4A1 /// LOC101928634 /// SENP3-EIF4A1 /// SNORA48 /// SNORA67 /// SNORD10
201531_at,NM_003407,ZFP36
201532_at,NM_002788,PSMA3
201533_at,NM_001904,CTNNB1
201534_s_at,AF044221,UBL3
201536_at,AL048503,DUSP3
201540_at,NM_001449,FHL1
201541_s_at,NM_006349,ZNHIT1
201546_at,NM_004238,TRIP12
201548_s_at,W02593,KDM5B
201553_s_at,NM_005561,LAMP1
201555_at,NM_002388,MCM3
201556_s_at,BC002737,VAMP2
201558_at,NM_003610,RAE1
201560_at,NM_013943,CLIC4
201563_at,L29008,SORD
201564_s_at,NM_003088,FSCN1
201565_s_at,NM_002166,ID2
201567_s_at,NM_002078,GOLGA4
201568_at,NM_014402,UQCRQ
201574_at,NM_004730,ETF1
201575_at,NM_012245,SNW1
201576_s_at,NM_000404,GLB1 /// TMPPE
201577_at,NM_000269,NME1
201578_at,NM_005397,PODXL
201579_at,NM_005245,FAT1
201584_s_at,NM_005804,DDX39A
201586_s_at,NM_005066,SFPQ
201587_s_at,NM_001569,IRAK1
201588_at,NM_004786,TXNL1
201589_at,D80000,SMC1A
201590_x_at,NM_004039,ANXA2
201591_s_at,NM_007184,NISCH
201592_at,NM_003756,EIF3H
201594_s_at,NM_005134,PPP4R1
201596_x_at,NM_000224,KRT18
201597_at,NM_001865,COX7A2
201598_s_at,NM_001567,INPPL1
201599_at,NM_000274,OAT
201600_at,NM_007273,PHB2
201603_at,AI817061,PPP1R12A
201605_x_at,NM_004368,CNN2
201606_s_at,BE796924,PWP1
201611_s_at,NM_012405,ICMT
201612_at,NM_000696,ALDH9A1
201614_s_at,NM_003707,RUVBL1
201616_s_at,AL577531,CALD1
201619_at,NM_006793,PRDX3
201620_at,NM_003791,MBTPS1
201622_at,NM_014390,SND1
201624_at,NM_001349,DARS
201625_s_at,BE300521,INSIG1
201628_s_at,NM_006570,RRAGA
201630_s_at,NM_004300,ACP1
201631_s_at,NM_003897,IER3
201632_at,NM_001414,EIF2B1
201634_s_at,NM_030579,CYB5B
201636_at,BG025078,FXR1
201641_at,NM_004335,BST2
201642_at,NM_005534,IFNGR2
201645_at,NM_002160,TNC
201647_s_at,NM_005506,SCARB2
201648_at,AL039831,JAK1
201649_at,NM_004223,UBE2L6
201650_at,NM_002276,KRT19
201651_s_at,NM_007229,PACSIN2
201652_at,NM_006837,COPS5
201653_at,NM_005776,CNIH1
201655_s_at,M85289,HSPG2
201656_at,NM_000210,ITGA6
201659_s_at,NM_001177,ARL1
201661_s_at,NM_004457,ACSL3
201664_at,AL136877,SMC4
201665_x_at,NM_001021,RPS17
201666_at,NM_003254,TIMP1
201667_at,NM_000165,GJA1
201669_s_at,NM_002356,MARCKS
201672_s_at,NM_005151,USP14
201673_s_at,NM_002103,GYS1
201675_at,NM_003488,AKAP1
201681_s_at,AB011155,DLG5
201682_at,NM_004279,PMPCB
201687_s_at,NM_006595,API5
201690_s_at,AA524023,TPD52
201692_at,NM_005866,SIGMAR1
201694_s_at,NM_001964,EGR1
201695_s_at,NM_000270,PNP
201696_at,NM_005626,SRSF4
201697_s_at,NM_001379,DNMT1
201698_s_at,NM_003769,GATC /// SRSF9
201699_at,NM_002806,PSMC6
201700_at,NM_001760,CCND3
201701_s_at,NM_006320,PGRMC2
201703_s_at,NM_002714,PPP1R10
201704_at,NM_001247,ENTPD6
201705_at,NM_002811,PSMD7
201707_at,NM_002857,PEX19
201709_s_at,NM_003634,NIPSNAP1
201710_at,NM_002466,MYBL2
201713_s_at,D42063,RANBP2
201714_at,NM_001070,TUBG1
201716_at,NM_003099,SNX1
201717_at,NM_004927,MRPL49
201719_s_at,NM_001431,EPB41L2
201721_s_at,NM_006762,LAPTM5
201722_s_at,AV692127,GALNT1
201725_at,NM_006023,CDC123
201726_at,BC003376,ELAVL1
201730_s_at,BF110993,TPR
201734_at,AI760629,CLCN3
201737_s_at,NM_005885,MARCH6
201738_at,NM_005875,EIF1B
201739_at,NM_005627,SGK1
201740_at,NM_004551,NDUFS3
201743_at,NM_000591,CD14
201744_s_at,NM_002345,LUM
201745_at,NM_002822,TWF1
201746_at,NM_000546,TP53
201748_s_at,NM_002967,SAFB
201749_at,BF969352,ECE1
201753_s_at,NM_019903,ADD3
201754_at,NM_004374,COX6C
201756_at,NM_002946,RPA2
201757_at,NM_004552,NDUFS5 /// RPL10
201758_at,NM_006292,TSG101
201759_at,AW247323,TBCD
201760_s_at,NM_018639,WSB2
201761_at,NM_006636,MTHFD2
201762_s_at,NM_002818,MIR7703 /// PSME2
